label,shoulder_threshold,hip_threshold,knee_threshold,ankle_threshold
wide-angle_seated_forward_bend_pose,0.2588348388671875,0.17926615476608276,0.4528945982456208,0.6817776709794998
warrior_3_pose,0.08313167095184332,0.05414772033691406,0.050489842891693115,0.06784206628799438
warrior_2_pose,0.17194607853889465,0.13663494586944586,0.4513365775346756,0.7697293162345885
warrior_1_pose,0.4087080657482147,0.1062936782836914,0.3859367370605469,0.6925834268331528
tree_pose,0.3693715482950211,0.25756937265396124,0.36221902072429657,0.32848629355430603
staff_pose,0.27011221647262573,0.8406473994255066,0.5764764547348022,0.4511712193489074
side_plank_pose,0.12422899901866918,0.08659631013870234,0.08844828605651855,0.24698686599731445
seated_forward_bend_pose,0.1337336301803589,0.6736993193626404,0.5455279350280762,0.0
low_lunge_pose,0.1913895159959794,0.11732986569404602,0.4487028121948242,0.7496263235807419
lord_of_the_dance_pose,0.16367343068122858,0.09362852573394775,0.18707692623138428,0.21760588884353638
locust_pose,0.08973593264818189,0.038714289665222223,0.5445926785469055,0.01399075984954834
goddess_pose,0.29276958107948303,0.2316197156906128,0.5247619748115541,0.8055652342736721
fish_pose,0.236654132604599,0.05316361784934992,0.04411125183105469,0.05206531286239624
downward-facing_dog_pose,0.6722621321678162,0.09804555773735046,0.35780042409896856,0.8658568263053894
dolphin_plank_pose,0.3130325525999069,0.19766974449157715,0.029678165912628174,0.3161879181861877
chair_pose,0.13178437948226934,0.09770655632019043,0.052467286586761475,0.6586344242095947
